Act_Num,Status,PUP_Name,PUP_Address,PUP_City,PUP_State,PUP_Zip,Symbol
1576AW,A,WESBANCO - Penco,333 PENCO RD ,WEIRTON,WV,26062-3898,333_PENCO_RD_
1577AW,A,WESBANCO - Woodsdale,835 NATIONAL RD ,WHEELING,WV,26003-6438,835_NATIONAL_RD_
1582AW,A,WESBANCO - Elm Grove,2207 NATIONAL RD ,WHEELING,WV,26003-5298,2207_NATIONAL_RD_
2E04E2,A,WESBANCO - Powell,10716 SAWMILL PKWY ,POWELL,OH,43065-6687,10716_SAWMILL_PKWY_
2W3498,A,WESBANCO - Suncrest TC,101 SUNCREST TOWN CENTRE DR ,MORGANTOWN,WV,26505-1827,101_SUNCREST_TOWN_CENTRE_DR_
2X657R,A,WESBANCO - Rock,4650 1ST AVE ,NITRO,WV,25143-1003,4650_1ST_AVE_
2X679A,A,WESBANCO - Huntington,823 8TH ST ,HUNTINGTON,WV,25701-2801,823_8TH_ST_
3002AF,A,WESBANCO - Tates Creek,3346 TATES CREEK RD ,LEXINGTON,KY,40502-3408,3346_TATES_CREEK_RD_
3002AY,A,WESBANCO - Vine St.,400 E VINE ST 101 ,LEXINGTON,KY,40507-1500,400_E_VINE_ST_101_
3002E1,A,WESBANCO - Scottsburg,125 W MCCLAIN AVE ,SCOTTSBURG,IN,47170-2016,125_W_MCCLAIN_AVE_
3002E2,A,WESBANCO - Hamburg,102 HERITAGE SQ ,SELLERSBURG,IN,47172-1863,102_HERITAGE_SQ_
3002E3,A,WESBANCO - Hwy 62,5112 E HIGHWAY 62 ,JEFFERSONVILLE,IN,47130-8706,5112_E_HIGHWAY_62_
3002E4,A,WESBANCO - Court Ave,201 W COURT AVE ,JEFFERSONVILLE,IN,47130-3529,201_W_COURT_AVE_
3002E8,A,WESBANCO - State St.,480 NEW ALBANY PLZ ,NEW ALBANY,IN,47150-4656,480_NEW_ALBANY_PLZ_
3002FY,A,WESBANCO - Spring St.,101 W SPRING ST ,NEW ALBANY,IN,47150-3660,101_W_SPRING_ST_
301F89,A,WESBANCO - Brandenburg,416 BROADWAY ST ,BRANDENBURG,KY,40108-1102,416_BROADWAY_ST_
301F91,A,WESBANCO - Shepherdsville,395 N BUCKMAN ST ,SHEPHERDSVILLE,KY,40165-7921,395_N_BUCKMAN_ST_
301F92,A,WESBANCO - Mt. Washington,279 N BARDSTOWN RD ,MOUNT WASHINGTON,KY,40047-7645,279_N_BARDSTOWN_RD_
301F96,A,WESBANCO - Stonybrook,3650 SOUTH HURSBOURNE PKWY ,LOUISVILLE,KY,40229-7316,3650_SOUTH_HURSBOURNE_PKWY_
301F97,A,WESBANCO - Blakenbaker,301 BLANKENBAKER PKWY ,LOUISVILLE,KY,40243-1879,301_BLANKENBAKER_PKWY_
551R02,A,FRANKLIN SQUARE,1301 US HIGHWAY 127 S ,FRANKFORT,KY,40601-4358,1301_US_HIGHWAY_127_S_
